Instance(321): 	 2.239258 3.768555 0.784580 
Instance(322): 	 2.133789 3.926758 0.706641 
Instance(323): 	 2.133789 3.838867 0.732918 
Instance(324): 	 2.186523 3.874023 0.735425 
Instance(325): 	 2.186523 3.856445 0.741899 
Instance(326): 	 2.168945 3.856445 0.737942 
Instance(327): 	 2.116211 3.891602 0.714082 
Instance(328): 	 2.204102 3.803711 0.763729 
Instance(329): 	 2.239258 3.733398 0.794486 
Instance(330): 	 2.221680 3.786133 0.774092 
Instance(331): 	 2.204102 3.856445 0.745325 
Instance(332): 	 2.256836 3.733398 0.800483 
Instance(333): 	 2.204102 3.786133 0.768862 
Instance(334): 	 2.151367 3.838867 0.738401 
Instance(335): 	 2.256836 3.786133 0.782835 
Instance(336): 	 2.133789 3.803711 0.740153 
Instance(337): 	 2.239258 3.944336 0.706354 
Instance(338): 	 2.133789 3.944336 0.700200 
Instance(339): 	 2.151367 3.891602 0.722292 
Instance(340): 	 2.133789 3.874023 0.723702 
Instance(341): 	 2.168945 3.838867 0.743416 
Instance(342): 	 2.133789 3.838867 0.732918 
Instance(343): 	 2.063477 3.926758 0.690724 
Instance(344): 	 2.344727 3.680664 0.843146 
Instance(345): 	 2.133789 3.856445 0.728544 
Instance(346): 	 2.221680 3.786133 0.774092 
Instance(347): 	 2.239258 3.803711 0.772406 
Instance(348): 	 2.045898 3.979492 0.672451 
Instance(349): 	 2.221680 3.786133 0.774092 
Instance(350): 	 2.133789 3.856445 0.728544 
Instance(351): 	 2.151367 3.961914 0.695302 
Instance(352): 	 2.168945 3.803711 0.752896 
Instance(353): 	 2.221680 3.838867 0.755369 
Instance(354): 	 2.186523 3.838867 0.747935 
Instance(355): 	 2.221680 3.786133 0.774092 
Instance(356): 	 2.133789 3.838867 0.732918 
Instance(357): 	 2.221680 3.856445 0.748192 
Instance(358): 	 2.221680 3.768555 0.779288 
Instance(359): 	 2.186523 3.838867 0.747935 
Instance(360): 	 2.098633 3.891602 0.709307 
Instance(361): 	 2.397461 3.803711 0.778771 
Instance(362): 	 2.045898 3.961914 0.677245 
Instance(363): 	 2.204102 3.821289 0.758074 
Instance(364): 	 2.168945 3.856445 0.737942 
Instance(365): 	 2.151367 3.874023 0.728102 
Instance(366): 	 2.274414 3.768555 0.793376 
Instance(367): 	 2.186523 3.821289 0.753501 
Instance(368): 	 2.098633 3.856445 0.717354 
Instance(369): 	 2.168945 3.838867 0.743416 
Instance(370): 	 2.045898 4.014648 0.661879 
Instance(371): 	 2.186523 3.838867 0.747935 
Instance(372): 	 2.256836 3.750977 0.795180 
Instance(373): 	 2.168945 3.821289 0.748410 
Instance(374): 	 2.309570 3.750977 0.807442 
Instance(375): 	 2.204102 3.768555 0.773443 
Instance(376): 	 2.186523 3.856445 0.741899 
Instance(377): 	 2.186523 3.821289 0.753501 
Instance(378): 	 2.186523 3.821289 0.753501 
Instance(379): 	 2.010742 3.997070 0.659823 
Instance(380): 	 2.116211 3.874023 0.718845 
Instance(381): 	 2.344727 3.733398 0.820813 
Instance(382): 	 2.133789 3.909180 0.712723 
Instance(383): 	 2.045898 3.961914 0.677245 
Instance(384): 	 2.151367 3.909180 0.716078 
Instance(385): 	 2.098633 3.891602 0.709307 
Instance(386): 	 2.151367 3.856445 0.733481 
Instance(387): 	 2.151367 3.838867 0.738401 
Instance(388): 	 2.186523 3.803711 0.758567 
Instance(389): 	 2.291992 3.715820 0.816658 
Instance(390): 	 2.309570 3.838867 0.763331 
Instance(391): 	 2.098633 3.891602 0.709307 
Instance(392): 	 2.133789 3.926758 0.706641 
Instance(393): 	 2.186523 3.821289 0.753501 
Instance(394): 	 2.291992 3.698242 0.822034 
Instance(395): 	 2.256836 3.750977 0.795180 
Instance(396): 	 2.186523 3.838867 0.747935 
Instance(397): 	 2.274414 3.768555 0.793376 
Instance(398): 	 2.151367 3.838867 0.738401 
Instance(399): 	 2.239258 3.786133 0.778760 
Instance(400): 	 2.098633 3.891602 0.709307 
Instance(401): 	 2.239258 3.821289 0.765551 
Instance(402): 	 2.362305 3.856445 0.748039 
Instance(403): 	 2.081055 3.961914 0.684989 
Instance(404): 	 2.256836 3.733398 0.800483 
Instance(405): 	 2.133789 3.856445 0.728544 
Instance(406): 	 2.168945 3.838867 0.743416 
Instance(407): 	 2.274414 3.768555 0.793376 
Instance(408): 	 2.239258 3.786133 0.778760 
Instance(409): 	 2.116211 3.891602 0.714082 
Instance(410): 	 2.168945 3.856445 0.737942 
Instance(411): 	 2.186523 3.821289 0.753501 
Instance(412): 	 2.133789 3.874023 0.723702 
Instance(413): 	 2.204102 3.838867 0.751929 
Instance(414): 	 2.133789 3.926758 0.706641 
Instance(415): 	 2.256836 3.733398 0.800483 
Instance(416): 	 2.204102 3.786133 0.768862 
Instance(417): 	 2.239258 3.715820 0.798509 
Instance(418): 	 2.239258 3.838867 0.758229 
Instance(419): 	 2.045898 3.944336 0.681681 
Instance(420): 	 2.362305 3.698242 0.839660 
Instance(421): 	 2.221680 3.768555 0.779288 
Instance(422): 	 2.204102 3.821289 0.758074 
Instance(423): 	 2.204102 3.909180 0.723075 
Instance(424): 	 2.098633 3.891602 0.709307 
Instance(425): 	 2.116211 3.874023 0.718845 
Instance(426): 	 2.327148 3.856445 0.752240 
Instance(427): 	 2.221680 3.891602 0.732627 
Instance(428): 	 2.098633 3.944336 0.694070 
Instance(429): 	 2.168945 3.821289 0.748410 
Instance(430): 	 2.309570 3.715820 0.821434 
Instance(431): 	 2.204102 3.786133 0.768862 
Instance(432): 	 2.116211 3.856445 0.723159 
Instance(433): 	 2.098633 3.961914 0.688248 
Instance(434): 	 2.116211 3.891602 0.714082 
Instance(435): 	 2.116211 3.891602 0.714082 
Instance(436): 	 2.239258 3.768555 0.784580 
Instance(437): 	 2.186523 3.838867 0.747935 
Instance(438): 	 2.151367 3.874023 0.728102 
Instance(439): 	 2.168945 3.909180 0.718939 
Instance(440): 	 2.291992 3.733398 0.810640 
Instance(441): 	 2.151367 3.891602 0.722292 
Instance(442): 	 2.151367 3.856445 0.733481 
Instance(443): 	 2.168945 3.821289 0.748410 
Instance(444): 	 2.028320 3.944336 0.676794 
Instance(445): 	 2.116211 3.891602 0.714082 
Instance(446): 	 2.151367 3.821289 0.742832 
Instance(447): 	 2.168945 3.821289 0.748410 
Instance(448): 	 2.168945 3.838867 0.743416 
Instance(449): 	 2.010742 3.961914 0.668016 
Instance(450): 	 2.151367 3.838867 0.738401 
Instance(451): 	 2.256836 3.750977 0.795180 
Instance(452): 	 2.151367 3.821289 0.742832 
Instance(453): 	 2.221680 3.803711 0.768352 
Instance(454): 	 2.221680 3.768555 0.779288 
Instance(455): 	 2.186523 3.821289 0.753501 
Instance(456): 	 2.168945 3.874023 0.732019 
Instance(457): 	 2.168945 3.803711 0.752896 
Instance(458): 	 2.151367 3.856445 0.733481 
Instance(459): 	 2.186523 3.874023 0.735425 
Instance(460): 	 2.256836 3.750977 0.795180 
Instance(461): 	 2.168945 3.821289 0.748410 
Instance(462): 	 2.309570 3.838867 0.763331 
Instance(463): 	 2.133789 3.909180 0.712723 
Instance(464): 	 2.133789 3.856445 0.728544 
Instance(465): 	 2.204102 3.786133 0.768862 
Instance(466): 	 2.045898 3.961914 0.677245 
Instance(467): 	 2.239258 3.750977 0.789833 
Instance(468): 	 2.186523 3.821289 0.753501 
Instance(469): 	 2.221680 3.838867 0.755369 
Instance(470): 	 2.274414 3.715820 0.811223 
Instance(471): 	 2.098633 3.909180 0.704625 
Instance(472): 	 2.291992 3.838867 0.763056 
Instance(473): 	 2.274414 3.750977 0.799918 
Instance(474): 	 2.186523 3.821289 0.753501 
Instance(475): 	 2.291992 3.768555 0.796820 
Instance(476): 	 2.362305 3.645508 0.860135 
Instance(477): 	 2.098633 3.891602 0.709307 
Instance(478): 	 2.239258 3.768555 0.784580 
Instance(479): 	 2.168945 3.874023 0.732019 
Instance(480): 	 2.133789 3.874023 0.723702 
Instance(481): 	 2.081055 3.909180 0.699933 
Instance(482): 	 2.098633 3.874023 0.713559 
Instance(483): 	 2.168945 3.803711 0.752896 
Instance(484): 	 2.221680 3.803711 0.768352 
Instance(485): 	 2.133789 3.874023 0.723702 
Instance(486): 	 2.098633 3.909180 0.704625 
Instance(487): 	 2.186523 3.838867 0.747935 
Instance(488): 	 2.204102 3.821289 0.758074 
Instance(489): 	 2.239258 3.750977 0.789833 
Instance(490): 	 2.168945 3.838867 0.743416 
Instance(491): 	 2.256836 3.874023 0.743424 
Instance(492): 	 2.204102 3.838867 0.751929 
Instance(493): 	 2.204102 3.838867 0.751929 
Instance(494): 	 2.327148 3.663086 0.843781 
Instance(495): 	 2.221680 3.786133 0.774092 
Instance(496): 	 2.186523 3.768555 0.767078 
Instance(497): 	 2.168945 3.838867 0.743416 
Instance(498): 	 2.151367 3.856445 0.733481 
Instance(499): 	 2.116211 3.891602 0.714082 
Instance(500): 	 2.327148 3.961914 0.683009 
Instance(501): 	 2.098633 3.874023 0.713559 
Instance(502): 	 2.186523 3.838867 0.747935 
Instance(503): 	 2.221680 3.786133 0.774092 
Instance(504): 	 2.256836 3.750977 0.795180 
Instance(505): 	 2.081055 3.979492 0.679295 
Instance(506): 	 2.133789 3.856445 0.728544 
Instance(507): 	 2.327148 3.663086 0.843781 
Instance(508): 	 2.327148 3.891602 0.730022 
Instance(509): 	 2.204102 3.786133 0.768862 
Instance(510): 	 2.116211 3.909180 0.708896 
Instance(511): 	 2.116211 3.909180 0.708896 
Instance(512): 	 2.239258 3.715820 0.798509 
Instance(513): 	 2.098633 3.891602 0.709307 
Instance(514): 	 2.309570 3.786133 0.791211 
Instance(515): 	 2.133789 3.838867 0.732918 
Instance(516): 	 2.116211 3.891602 0.714082 
Instance(517): 	 2.168945 3.856445 0.737942 
Instance(518): 	 2.116211 3.838867 0.726998 
Instance(519): 	 2.256836 3.733398 0.800483 
Instance(520): 	 2.274414 3.786133 0.786288 
Instance(521): 	 2.256836 3.750977 0.795180 
Instance(522): 	 2.204102 3.803711 0.763729 
Instance(523): 	 2.204102 3.768555 0.773443 
Instance(524): 	 2.045898 3.944336 0.681681 
Instance(525): 	 2.098633 3.891602 0.709307 
Instance(526): 	 2.186523 3.803711 0.758567 
Instance(527): 	 2.133789 3.856445 0.728544 
Instance(528): 	 2.204102 3.768555 0.773443 
Instance(529): 	 2.239258 3.750977 0.789833 
Instance(530): 	 2.098633 3.874023 0.713559 
Instance(531): 	 2.045898 3.979492 0.672451 
Instance(532): 	 2.081055 3.961914 0.684989 
Instance(533): 	 2.098633 3.926758 0.699537 
Instance(534): 	 2.063477 3.838867 0.706894 
Instance(535): 	 2.168945 3.803711 0.752896 
Instance(536): 	 2.151367 3.838867 0.738401 
Instance(537): 	 2.151367 3.838867 0.738401 
Instance(538): 	 2.063477 3.961914 0.681314 
Instance(539): 	 2.151367 3.856445 0.733481 
Instance(540): 	 2.291992 3.768555 0.796820 
Instance(541): 	 2.274414 3.733398 0.805878 
Instance(542): 	 2.327148 3.750977 0.810168 
Instance(543): 	 2.151367 3.926758 0.709491 
Instance(544): 	 2.186523 3.768555 0.767078 
Instance(545): 	 2.204102 3.821289 0.758074 
Instance(546): 	 2.168945 3.874023 0.732019 
Instance(547): 	 2.168945 3.856445 0.737942 
Instance(548): 	 2.256836 3.733398 0.800483 
Instance(549): 	 2.168945 3.838867 0.743416 
Instance(550): 	 2.116211 3.838867 0.726998 
Instance(551): 	 2.239258 3.856445 0.750473 
Instance(552): 	 2.274414 3.786133 0.786288 
Instance(553): 	 2.151367 3.926758 0.709491 
Instance(554): 	 2.291992 3.786133 0.789089 
Instance(555): 	 2.274414 3.803711 0.778688 
Instance(556): 	 2.204102 3.786133 0.768862 
Instance(557): 	 2.239258 3.786133 0.778760 
Instance(558): 	 2.151367 3.856445 0.733481 
